Militância militância_NOUN_Fem_Sing
bolsonarista bolsonarista_ADJ_Fem_Sing
faz fazer_VERB_Fin_Sing
campanha campanha_NOUN_Fem_Sing
para para_ADP
derrubar derrubar_VERB_Inf
indicada indicar_VERB_Part_Fem_Sing
de de_ADP
Moro moro_PROPN_Sing
para para_ADP
conselho conselho_NOUN_Masc_Sing
. .
Eles eles_PRON_Masc_Plur
reclamam reclamar_VERB_Fin_Plur
que que_SCONJ
Ilona ilona_PROPN_Masc_Sing
Szabó szabó_PROPN_Sing
, ,
especialista especialista_NOUN_Masc_Sing
em em_ADP
segurança segurança_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
, ,
defendeu defender_VERB_Fin_Sing
o o_DET_Masc_Sing
desarmamento desarmamento_NOUN_Masc_Sing
e e_CCONJ
fez fazer_VERB_Fin_Sing
críticas crítica_NOUN_Fem_Plur
ao a_o_ADP_DET_Masc_Sing
decreto decreto_NOUN_Masc_Sing
de de_ADP
posse posse_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
. .
