imagina imaginar_VERB_Fin_Sing
o o_DET_Masc_Sing
coração coração_NOUN_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
eleitores eleitor_NOUN_Masc_Plur
de de_ADP
Bolsonaro bolsonaro_NOUN_Masc_Sing
nessa em_esse_ADP_DET_Fem_Sing
pré pré_NOUN_Fem_Sing
sabatina sabatina_ADJ_Fem_Sing
do de_o_ADP_DET_Masc_Sing
roda roda_NOUN
viva vivo_ADJ_Fem_Sing
: :
 "  "
ai ai_NOUN_Masc_Sing
, ,
meu meu_DET_Masc_Sing
deus deus_NOUN_Masc_Sing
, ,
tomara tomar_VERB_Fin_Sing
que que_SCONJ
ele ele_PRON_Masc_Sing
não não_ADV
fale falar_VERB_Fin_Sing
muita muito_DET_Fem_Sing
merda merda_NOUN_Fem_Sing
 "  "
kkkk kkkk_NOUN_Masc_Sing
, ,
um um_DET_Masc_Sing
cidadão cidadão_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
não não_ADV
entende entender_VERB_Fin_Sing
porra porra_NOUN_Fem_Sing
de de_ADP
nada nada_PRON_Masc_Sing
da de_o_ADP_DET_Fem_Sing
sociedade sociedade_NOUN_Fem_Sing
, ,
só só_ADV
mama mamar_VERB_Fin_Sing
há há_ADP
anos ano_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
Estado estado_NOUN_Masc_Sing
e e_CCONJ
pronto pronto_ADJ_Masc_Sing
. .
quero querer_VERB_Fin_Sing
só só_ADV
ver ver_VERB_Inf
a o_DET_Fem_Sing
merda merda_NOUN_Fem_Sing
. .
