Entenda entender_VERB_Fin_Sing
aqui aqui_ADV
por por_ADP
que que_SCONJ
corrupção corrupção_NOUN_Fem_Sing
e e_CCONJ
lavagem lavagem_NOUN_Fem_Sing
de de_ADP
dinheiro dinheiro_NOUN_Masc_Sing
em em_ADP
compra compra_NOUN_Fem_Sing
de de_ADP
imóveis imóvel_NOUN_Masc_Plur
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
negócio negócio_NOUN_Masc_Sing
sério sério_ADJ_Masc_Sing
, ,
especialmente especialmente_ADV
se se_SCONJ
eles eles_PRON_Masc_Plur
são ser_AUX_Fin_Plur
comprados comprar_VERB_Part_Masc_Plur
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
. .
O o_DET_Masc_Sing
número número_NOUN_Masc_Sing
de de_ADP
imóveis imóvel_NOUN_Masc_Plur
( (
107 @card@
) )
, ,
bem bem_ADV
como como_ADP
a o_DET_Fem_Sing
compra compra_NOUN_Fem_Sing
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
, ,
levanta levantar_VERB_Fin_Sing
enormes enorme_ADJ_Fem_Plur
suspeitas suspeita_NOUN_Fem_Plur
sobre sobre_ADP
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
