Por por_ADP
favor favor_NOUN
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
vocês você_PRON_Plur
não não_ADV
podem poder_AUX_Fin_Plur
aceitar aceitar_VERB_Inf
estes este_DET_Masc_Plur
tipos tipo_NOUN_Masc_Plur
de de_ADP
comentários comentário_NOUN_Masc_Plur
, ,
mesmo mesmo_ADV
assim assim_ADV
respeito respeito_NOUN_Masc_Sing
às a_o_ADP_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armado_ADJ_Fem_Plur
, ,
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
bobo bobo_ADJ_Masc_Sing
, ,
sabe saber_VERB_Fin_Sing
quem quem_PRON_Rel_Sing
não não_ADV
podem poder_AUX_Fin_Plur
agir agir_VERB_Inf
sem sem_ADP
uma um_DET_Fem_Sing
ordem ordem_NOUN_Fem_Sing
, ,
mesmo mesmo_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
seja ser_VERB_Fin_Sing
para para_ADP
nos nós_PRON_Plur
agradar agradar_VERB_Inf
ou ou_CCONJ
desagradar desagradar_VERB_Inf
Eu eu_PRON_Masc_Sing
não não_ADV
rejeitarei rejeitarei_VERB_Fin_Sing
e e_CCONJ
não não_ADV
vou ir_AUX_Fin_Sing
deixar deixar_AUX_Inf
de de_ADP
apoiar apoiar_VERB_Inf
BOLSONARO bolsonaro_PROPN_Masc_Sing
. .
