Atrito atrito_NOUN_Masc_Sing
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
derruba derrubar_VERB_Fin_Sing
comandantes comandante_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
Forças forças_PROPN_Fem_Plur
Armadas armadas_PROPN_Sing
, ,
na em_o_ADP_DET_Fem_Sing
maior grande_ADJ_Fem_Sing
crise crise_NOUN_Fem_Sing
militar militar_ADJ_Fem_Sing
desde desde_ADP
1977 @card@
Braga braga_PROPN_Masc_Sing
Netto netto_PROPN_Sing
se se_PRON_Masc_Sing
irritou irritar_VERB_Fin_Sing
com com_ADP
renúncia renúncia_NOUN_Fem_Sing
coletiva coletivo_ADJ_Fem_Sing
e e_CCONJ
anunciou anunciar_VERB_Fin_Sing
demissão demissão_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
oficiais-generais oficiais-generais
; ;
fardados fardar_VERB_Part_Masc_Plur
buscam buscar_VERB_Fin_Plur
acomodação acomodação_NOUN_Fem_Sing
. .
