RT rt_NOUN_Masc_Sing
@radioptbrasil twitterhandle_ADJ_Masc_Sing
: :
HASHTAG hashtag_PROPN_Masc_Sing
#radioagênciapt_h #radioagênciapt_h
Enganadas enganadas_VERB_Fin_Sing
por por_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
famílias família_NOUN_Fem_Plur
pobres pobre_ADJ_Fem_Plur
do de_o_ADP_DET_Masc_Sing
semiárido semiárido_ADJ_Masc_Sing
mineiro mineiro_NOUN_Masc_Sing
, ,
tiveram ter_AUX_Fin_Plur
que que_SCONJ
pagar pagar_VERB_Inf
para para_ADP
receber receber_VERB_Inf
cisternas cisterna_NOUN_Fem_Plur
… …
