Com com_ADP
lei lei_NOUN
contra contra_ADP
suposto suposto_ADJ_Masc_Sing
abuso abuso_NOUN_Masc_Sing
de de_ADP
autoridade autoridade_NOUN_Fem_Sing
e e_CCONJ
proposta proposta_NOUN_Fem_Sing
de de_ADP
resolução resolução_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
CNJ cnj_PROPN_Masc_Sing
para para_ADP
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
, ,
parlamentares parlamentar_NOUN_Masc_Plur
investigados investigado_ADJ_Masc_Plur
, ,
réus réu_ADJ_Masc_Plur
e e_CCONJ
condenados condenado_ADJ_Masc_Plur
mantêm manter_VERB_Fin_Plur
a o_DET_Fem_Sing
imunidade imunidade_NOUN_Fem_Sing
para para_ADP
atacar atacar_VERB_Inf
juízes juíz_NOUN_Masc_Plur
e e_CCONJ
procuradores procurador_NOUN_Masc_Plur
, ,
mas mas_CCONJ
juízes juíz_NOUN_Masc_Plur
e e_CCONJ
procuradores procurador_NOUN_Masc_Plur
não não_ADV
terão ter_VERB_Fin_Plur
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
para para_ADP
responder responder_VERB_Inf
aos a_o_ADP_DET_Masc_Plur
ataques ataque_NOUN_Masc_Plur
. .
