@kimpaim twitterhandle_VERB_Fin_Plur
@LuizaMilena1987 twitterhandle_NOUN_Masc_Sing
Culpa culpa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Flávio flávio_PROPN_Masc_Sing
e e_CCONJ
da de_o_ADP_DET_Fem_Sing
base base_NOUN_Fem_Sing
pois pois_SCONJ
os o_DET_Masc_Plur
conservadores conservador_NOUN_Masc_Plur
foram ser_AUX_Fin_Plur
abandonados abandonar_VERB_Part_Masc_Plur
os o_DET_Masc_Plur
movimentos movimento_NOUN_Masc_Plur
conservadores conservador_ADJ_Masc_Plur
do de_o_ADP_DET_Masc_Sing
RJ rj_PROPN_Masc_Sing
ignorados ignorar_VERB_Part_Masc_Plur
. .
A o_DET_Fem_Sing
maioria maioria_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
RJ rj_PROPN_Masc_Sing
votou votar_VERB_Fin_Sing
por por_ADP
abstenção abstenção_NOUN_Fem_Sing
. .
