RT rt_PROPN_Masc_Sing
@AnglicaKurten twitterhandle_PROPN_Sing
: :
Que que_SCONJ
Deus deus_PROPN_Masc_Sing
te tu_PRON_Masc_Sing
ilumine iluminar_VERB_Fin_Sing
, ,
te tu_PRON_Masc_Sing
guarde guardar_VERB_Fin_Sing
e e_CCONJ
te tu_PRON_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
grandemente grandemente_ADV
querido querido_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
! !
! !
! !
Amém amém_NOUN_Masc_Sing
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
red_heart_e red_heart_e
red_heart_e red_heart_e
https https_PROPN_Sing
… …
