Generais general_NOUN_Masc_Plur
e e_CCONJ
Bolsonaro bolsonaro_NOUN_Masc_Sing
repudiando repudiar_VERB_Part
possibilidade possibilidade_NOUN_Fem_Sing
de de_ADP
golpe golpe_NOUN_Masc_Sing
ou ou_CCONJ
intervenção intervenção_NOUN_Fem_Sing
militar militar_ADJ_Fem_Sing
. .
Raquel raquel_PROPN_Fem_Sing
Sheherazade sheherazade_PROPN_Sing
xingada xingar_VERB_Part_Fem_Sing
de de_ADP
comunista comunista_NOUN_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
extrema extremo_ADJ_Fem_Sing
direita direita_NOUN_Fem_Sing
. .
A o_DET_Fem_Sing
economista economista_NOUN_Fem_Sing
liberal liberal_ADJ_Fem_Sing
Monica monica_PROPN_Fem_Sing
De de_ADP
Bolle bolle_PROPN_Sing
elogiando elogiar_VERB_Part
Ciro ciro_PROPN_Masc_Sing
Gomes gomes_PROPN_Sing
no em_o_ADP_DET_Masc_Sing
Roda roda_NOUN_Fem_Sing
Viva viva_PROPN_Fem_Sing
. .
As o_DET_Fem_Plur
crenças crença_NOUN_Fem_Plur
de de_ADP
outrora outrora_ADV
estão estar_AUX_Fin_Plur
turvas turvo_ADJ_Fem_Plur
. .
