A o_DET_Fem_Sing
maldade maldade_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
tem ter_VERB_Fin_Sing
limites limite_NOUN_Masc_Plur
. .
Vetou vetar_VERB_Fin_Sing
o o_DET_Masc_Sing
projeto projeto_NOUN_Masc_Sing
de de_ADP
Lei lei_NOUN_Fem_Sing
aprovado aprovar_VERB_Part_Masc_Sing
por por_ADP
nós nós_PRON_Masc_Plur
do de_o_ADP_DET_Masc_Sing
Congresso congresso_PROPN_Masc_Sing
Nacional nacional_PROPN_Sing
, ,
que que_PRON_Rel_Masc_Sing
prioriza prioriza_VERB_Fin_Sing
mães mãe_NOUN_Fem_Plur
chefes chefe_NOUN_Masc_Plur
de de_ADP
família família_NOUN_Fem_Sing
a a_ADP
receberem receber_VERB_Fin_Plur
o o_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
. .
Mostra mostrar_VERB_Fin_Sing
o o_DET_Masc_Sing
desprezo desprezo_NOUN_Masc_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
às a_o_ADP_DET_Fem_Plur
mães mãe_NOUN_Fem_Plur
brasileiras brasileiro_ADJ_Fem_Plur
. .
Com com_ADP
toda todo_DET_Fem_Sing
certeza certeza_NOUN_Fem_Sing
, ,
derrubaremos derrubaremos_VERB_Fin_Plur
esse esse_DET_Masc_Sing
veto veto_NOUN_Masc_Sing
! !
