@samukape twitterhandle_NOUN_Fem_Sing
E e_CCONJ
vc vc_NOUN_Fem_Sing
acha achar_VERB_Fin_Sing
que que_SCONJ
com com_ADP
esse esse_DET_Masc_Sing
tanto tanto_NOUN_Masc_Sing
de de_ADP
pessoas pessoa_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
foi ser_AUX_Fin_Sing
na em_o_ADP_DET_Fem_Sing
passeata passeata_NOUN_Fem_Sing
contra contra_ADP
ele ele_PRON_Masc_Sing
, ,
vai ir_AUX_Fin_Sing
apoiar apoiar_VERB_Inf
! !
Quando quando_ADV
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
vota votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
acordar acordar_VERB_Inf
e e_CCONJ
ver ver_VERB_Inf
que que_SCONJ
o o_DET_Masc_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
não não_ADV
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
melhor bom_ADJ_Fem_Sing
opção opção_NOUN_Fem_Sing
, ,
eles eles_PRON_Masc_Plur
não não_ADV
vão ir_AUX_Fin_Plur
apoiar apoiar_VERB_Inf
