@Alicee_NoPais twitterhandle_VERB_Fin_Plur
@jairbolsonaro twitterhandle_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
. .
Brincalhão brincalhão_ADJ_Masc_Sing
, ,
mas mas_CCONJ
autêntico autêntico_ADJ_Masc_Sing
, ,
sincero sincero_ADJ_Masc_Sing
, ,
um um_DET_Masc_Sing
puto puto_NOUN_Masc_Sing
dum de_um_ADP_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
humilde humilde_ADJ_Masc_Sing
, ,
verdadeiro verdadeiro_ADJ_Masc_Sing
e e_CCONJ
um um_DET_Masc_Sing
homem homem_NOUN_Masc_Sing
e e_CCONJ
político político_NOUN_Masc_Sing
honesto honesto_ADJ_Masc_Sing
. .
No em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
aínda aínda_VERB_Fin_Sing
tem ter_VERB_Fin_Sing
homens homem_NOUN_Masc_Plur
e e_CCONJ
políticos político_NOUN_Masc_Plur
bons bom_ADJ_Masc_Plur
. .
Poucos pouco_PRON_Masc_Plur
, ,
mas mas_CCONJ
tem ter_VERB_Fin_Sing
. .
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
é ser_AUX_Fin_Sing
dos de_o_ADP_PRON_Masc_Plur
ou ou_CCONJ
o o_DET_Masc_Sing
principal principal_ADJ_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
políticos político_NOUN_Masc_Plur
e e_CCONJ
homens homem_NOUN_Masc_Plur
bons bom_ADJ_Masc_Plur
. .
Que que_SCONJ
Deus deus_PROPN_Masc_Sing
Todo-poderoso todo-poderoso
o o_PRON_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
