Fechado fechar_VERB_Part_Masc_Sing
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
sempre sempre_ADV
! !
! !
! !
Com com_ADP
a o_DET_Fem_Sing
ajuda ajuda_NOUN_Fem_Sing
de de_ADP
Deus deus_PROPN_Sing
 "  "
e e_CCONJ
com com_ADP
o o_DET_Masc_Sing
apoio apoio_NOUN_Masc_Sing
de de_ADP
nosso nosso_DET_Masc_Sing
valoroso valoroso_ADJ_Masc_Sing
presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
 "  "
vamos ir_AUX_Fin_Plur
revigorar revigorar_VERB_Inf
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
 "  "
a a_ADP
um um_DET_Masc_Sing
país país_NOUN_Masc_Sing
com com_ADP
mais muito_DET_Fem_Sing
justiça justiça_NOUN_Fem_Sing
para para_ADP
todos todo_DET_Masc_Plur
nós nó_NOUN_Masc_Plur
brasileiros brasileiro_ADJ_Masc_Plur
! !
E e_CCONJ
um um_DET_Masc_Sing
legado legado_NOUN_Masc_Sing
para para_ADP
nossos nosso_DET_Masc_Plur
filhos filho_NOUN_Masc_Plur
e e_CCONJ
nossos nosso_DET_Masc_Plur
netos neto_NOUN_Masc_Plur
! !
Deus deus_PROPN_Masc_Sing
acima acima_ADV
de de_ADP
todos todo_PRON_Masc_Plur
amém amém_NOUN_Masc_Sing
raising_hands_e raising_hands_e
folded_hands_e folded_hands_e
*** ***
