@Geizyyy twitterhandle_NOUN_Masc_Sing
pessoal pessoal_ADJ_Masc_Sing
tem ter_VERB_Fin_Sing
problema problema_NOUN_Masc_Sing
bolsonaro bolsonaro_ADJ_Masc_Sing
vem vir_VERB_Fin_Sing
com com_ADP
discurso discurso_NOUN_Masc_Sing
conservador conservador_ADJ_Masc_Sing
nos em_o_ADP_DET_Masc_Plur
costumes costume_NOUN_Masc_Plur
e e_CCONJ
liberal liberal_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
economia economia_NOUN_Fem_Sing
. .
paulo paulo_NOUN_Masc_Sing
guedes guedes_VERB_Fin_Sing
eh eh_ADJ_Fem_Sing
prova prova_NOUN_Fem_Sing
. .
quer quer_CCONJ
mais mais_ADV
do de_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
isso isso_PRON_Masc_Sing
? ?
bolsonaro bolsonaro_NOUN_Masc_Sing
faz fazer_VERB_Fin_Sing
besteiras besteira_NOUN_Fem_Plur
? ?
faz fazer_VERB_Fin_Sing
fala falar_VERB_Fin_Sing
besteira besteira_NOUN_Fem_Sing
? ?
fala falar_VERB_Fin_Sing
mas mas_CCONJ
ao a_o_ADP_DET_Masc_Sing
menos pouco_DET_Masc_Sing
eh eh_NOUN_Masc_Sing
transparente transparente_ADJ_Masc_Sing
