@OGloboPolitica twitterhandle_VERB_Fin_Sing
@jairbolsonaro twitterhandle_ADJ_Masc_Sing
@dilmabr twitterhandle_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
seu seu_DET_Masc_Sing
fascismo fascismo_NOUN_Masc_Sing
surgido surgir_VERB_Part_Masc_Sing
das de_o_ADP_DET_Fem_Plur
treves treves_NOUN_Fem_Plur
, ,
é ser_AUX_Fin_Sing
resultado resultar_VERB_Part
do de_o_ADP_DET_Masc_Sing
conluio conluio_NOUN_Masc_Sing
LavaJato lavajato_PROPN_Masc_Sing
, ,
Elite elite_PROPN_Fem_Sing
e e_CCONJ
Direita direita_PROPN_Fem_Sing
, ,
que que_PRON_Rel_Fem_Sing
utilizou utilizar_VERB_Fin_Sing
a o_DET_Fem_Sing
imprensa imprensa_NOUN_Fem_Sing
como como_ADP
braço braço_NOUN_Masc_Sing
armado armar_VERB_Part_Masc_Sing
pra pra_ADP
destruir destruir_VERB_Inf
o o_DET_Masc_Sing
PT pt_PROPN_Masc_Sing
e e_CCONJ
Lula lula_PROPN_Masc_Sing
através através_ADV
da de_o_ADP_DET_Fem_Sing
disseminação disseminação_NOUN_Fem_Sing
de de_ADP
campanha campanha_NOUN_Fem_Sing
de de_ADP
ódio ódio_NOUN_Masc_Sing
por por_ADP
anos ano_NOUN_Masc_Plur
a a_ADP
fio fio_NOUN_Masc_Sing
, ,
sendo ser_AUX_Ger
a o_DET_Fem_Sing
Globo globo_NOUN_Fem_Sing
a a_ADP
arma arma_NOUN_Fem_Sing
mais mais_ADV
letal letal_ADJ_Fem_Sing
nessa em_esse_ADP_DET_Fem_Sing
guerra guerra_NOUN_Fem_Sing
contra contra_ADP
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
