@DamaresAlves twitterhandle_VERB_Fin_Sing
O o_DET_Masc_Sing
virus virus_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
comunista comunista_ADJ_Masc_Sing
e e_CCONJ
só só_ADV
pega pegar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
reduto reduto_NOUN_Masc_Sing
de de_ADP
governadores governador_NOUN_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
, ,
tudo tudo_PRON_Masc_Sing
para para_ADP
tentar tentar_VERB_Inf
desestabilizar desestabilizar_VERB_Inf
o o_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
O o_DET_Masc_Sing
melhor bom_ADJ_Masc_Sing
do de_o_ADP_DET_Masc_Sing
mundo mundo_NOUN_Masc_Sing
