@JonasJacob11 twitterhandle_NUM
@rodrigodasilva twitterhandle_ADJ_Fem_Sing
Verdade verdade_NOUN_Fem_Sing
como como_ADP
parlamentares parlamentar_NOUN_Masc_Plur
FDP fdp_PROPN_Masc_Sing
q q_NOUN_Masc_Sing
ficaram ficar_VERB_Fin_Plur
contra contra_ADP
o o_DET_Masc_Sing
Eduardo eduardo_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
quando quando_ADV
caiu cair_VERB_Fin_Sing
de de_ADP
pau pau_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
regime regime_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
Xi xi_PROPN_Masc_Sing
jiping jiping_NOUN_Masc_Sing
chinês chinês_ADJ_Masc_Sing
. .
. .
. .
