Somente somente_ADV
o o_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
2020 @card@
/ /
21 21_NUM
pagou pagar_VERB_Fin_Sing
o o_DET_Masc_Sing
equivalente equivalente_NOUN_Masc_Sing
a a_ADP
13 13_NUM
anos ano_NOUN_Masc_Plur
de de_ADP
Bolsa bolsa_PROPN_Fem_Sing
Família família_PROPN_Sing
. .
O o_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
federal federal_ADJ_Masc_Sing
salvou salvar_VERB_Fin_Sing
empregos emprego_NOUN_Masc_Plur
, ,
matou matar_VERB_Fin_Sing
a o_DET_Fem_Sing
fome fome_NOUN_Fem_Sing
de de_ADP
milhões milhão_NOUN_Masc_Plur
de de_ADP
brasileiros brasileiro_NOUN_Masc_Plur
e e_CCONJ
movimentou movimentar_VERB_Fin_Sing
bilhões bilhão_NOUN_Masc_Plur
na em_o_ADP_DET_Fem_Sing
economia economia_NOUN_Fem_Sing
durante durante_ADP
o o_DET_Masc_Sing
lockdown lockdown_NOUN_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
governadores governador_NOUN_Masc_Plur
. .
Apesar apesar_ADV
das de_o_ADP_DET_Fem_Plur
dificuldades dificuldade_NOUN_Fem_Plur
, ,
ninguém ninguém_PRON_Masc_Sing
ficou ficar_VERB_Fin_Sing
para para_ADP
trás trás_ADV
. .
