Bolsonaro bolsonaro_PROPN_Masc_Sing
foge fugir_VERB_Fin_Sing
de de_ADP
todas todo_DET_Fem_Plur
as o_DET_Fem_Plur
responsabilidades responsabilidade_NOUN_Fem_Plur
. .
Para para_ADP
ele ele_PRON_Masc_Sing
, ,
a o_DET_Fem_Sing
economia economia_NOUN_Fem_Sing
não não_ADV
depende depender_VERB_Fin_Sing
de de_ADP
Paulo paulo_PROPN_Masc_Sing
Guedes guedes_PROPN_Sing
, ,
mas mas_CCONJ
de de_ADP
Deus deus_PROPN_Masc_Sing
. .
Já já_ADV
colocou colocar_VERB_Fin_Sing
a o_DET_Fem_Sing
culpa culpa_NOUN_Fem_Sing
nos em_o_ADP_DET_Masc_Plur
estados estado_NOUN_Masc_Plur
pelo por_o_ADP_DET_Masc_Sing
desemprego desemprego_NOUN_Masc_Sing
e e_CCONJ
pelo por_o_ADP_DET_Masc_Sing
preço preço_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
gasolina gasolina_NOUN_Fem_Sing
, ,
se se_SCONJ
o o_DET_Masc_Sing
gás gás_NOUN_Masc_Sing
não não_ADV
baixar baixar_VERB_Inf
, ,
a o_DET_Fem_Sing
culpa culpa_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
dele de_ele_ADP_PRON_Masc_Sing
backhand_index_pointing_up_e backhand_index_pointing_up_e
folded_hands_e folded_hands_e
