@TonArruda1 twitterhandle_PROPN_Fem_Sing
Cara cara_PROPN_Sing
só só_ADV
falou falar_VERB_Fin_Sing
isso isso_PRON_Masc_Sing
por por_ADP
q q_NOUN_Masc_Sing
sabe saber_VERB_Fin_Sing
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
terá ter_VERB_Fin_Sing
mais muito_DET_Masc_Sing
tempo tempo_NOUN_Masc_Sing
, ,
graças graças_ADV
a o_DET_Fem_Sing
opinião opinião_NOUN_Fem_Sing
dele de_ele_ADP_PRON_Masc_Sing
. .
Opinião opinião_NOUN_Fem_Sing
de de_ADP
que que_SCONJ
Putin putin_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
trump trump_NOUN_Masc_Sing
são ser_AUX_Fin_Plur
iguais igual_ADJ_Masc_Plur
. .
. .
. .
. .
comparou comparar_VERB_Fin_Sing
a o_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
direita direita_NOUN_Fem_Sing
com com_ADP
regimes regime_NOUN_Masc_Plur
totalitários totalitário_ADJ_Masc_Plur
de de_ADP
esquerda esquerda_NOUN_Fem_Sing
. .
. .
. .
será ser_AUX_Fin_Sing
q q_NOUN_Masc_Sing
eu eu_PRON_Masc_Sing
mando mandar_VERB_Fin_Sing
estudar estudar_VERB_Inf
? ?
Acho achar_VERB_Fin_Sing
q q_NOUN_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
q q_NOUN_Masc_Sing
ele ele_PRON_Masc_Sing
estude estudar_VERB_Fin_Sing
não não_ADV
vai ir_AUX_Fin_Sing
adiantar adiantar_VERB_Inf
