@GracaBinas twitterhandle_VERB_Fin_Sing
@JanainaDoBrasil twitterhandle_ADJ_Masc_Sing
Abre abrir_VERB_Fin_Sing
o o_DET_Masc_Sing
olho olho_NOUN_Masc_Sing
, ,
tia tio_NOUN_Fem_Sing
. .
Quem quem_PRON_Rel_Sing
tá estar_AUX_Fin_Sing
fazendo fazer_VERB_Ger
merda merda_NOUN_Fem_Sing
agora agora_ADV
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
atual atual_ADJ_Masc_Sing
Gov gov_PROPN_Masc_Sing
. .
Inclusive inclusive_ADV
, ,
dando dar_VERB_Ger
espaço espaço_NOUN_Masc_Sing
p p_NOUN_Masc_Sing
/ /
ladrão ladrão_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Gov gov_PROPN_Masc_Sing
. .
A o_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
fez fazer_VERB_Fin_Sing
merda merda_NOUN_Fem_Sing
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
foi ser_AUX_Fin_Sing
eleito eleger_VERB_Part_Masc_Sing
apontando apontar_VERB_Part
a o_DET_Fem_Sing
merda merda_NOUN_Fem_Sing
e e_CCONJ
está estar_AUX_Fin_Sing
repetindo repetir_VERB_Part
boa bom_ADJ_Fem_Sing
parte parte_NOUN_Fem_Sing
delas de_elas_ADP_PRON_Fem_Plur
. .
Se se_SCONJ
a o_DET_Fem_Sing
tia tio_NOUN_Fem_Sing
não não_ADV
cobrar cobrar_VERB_Inf_Sing
, ,
eles eles_PRON_Masc_Plur
vão ir_AUX_Fin_Plur
completar completar_VERB_Inf
o o_DET_Masc_Sing
repertório repertório_NOUN_Masc_Sing
de de_ADP
merda merda_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
. .
