@Guilher58755132 twitterhandle_NOUN_Masc_Sing
70 70_NUM
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
crl crl_NOUN_Masc_Sing
, ,
homem homem_NOUN_Masc_Sing
fdp fdp_ADJ_Masc_Sing
e e_CCONJ
desgraçado desgraçado_ADJ_Masc_Sing
tem ter_VERB_Fin_Sing
nada nada_PRON_Masc_Sing
p p_NOUN_Masc_Plur
favorecer favorecer_VERB_Inf
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
só só_ADV
matar matar_VERB_Inf
mesmo mesmo_ADV
igual igual_ADJ_Masc_Sing
canso cansar_VERB_Fin_Sing
de de_ADP
fazer fazer_VERB_Inf
, ,
quem quem_PRON_Rel_Sing
votou votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
vai ir_AUX_Fin_Sing
sentir sentir_VERB_Inf
o o_DET_Masc_Sing
próprio próprio_ADJ_Masc_Sing
peso peso_NOUN_Masc_Sing
quando quando_ADV
começar começar_AUX_Inf
a a_ADP
enterrar enterrar_VERB_Inf
o o_DET_Masc_Sing
próprio próprio_ADJ_Masc_Sing
filho filho_NOUN_Masc_Sing
ou ou_CCONJ
seja ser_VERB_Fin_Sing
lá lá_ADV
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
quem quem_PRON_Rel_Fem_Sing
for ir_VERB_Fin_Sing
, ,
se se_SCONJ
já já_ADV
matava matar_VERB_Fin_Sing
antes antes_ADV
imagine imaginar_VERB_Fin_Sing
agr agr_NOUN_Masc_Sing
! !
pouting_face_e pouting_face_e
