@CiresCanisio twitterhandle_VERB_Fin_Sing
Não não_ADV
, ,
o o_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
não não_ADV
da de_o_ADP_DET_Fem_Sing
uma um_DET_Fem_Sing
refinaria refinaria_NOUN_Fem_Sing
atroca atroca_ADJ_Fem_Sing
de de_ADP
propina propina_NOUN_Fem_Sing
, ,
só só_ADV
esse esse_DET_Masc_Sing
bandido bandido_ADJ_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
bolsonaro bolsonaro_ADJ_Masc_Sing
que que_PRON_Rel_Masc_Sing
faz fazer_VERB_Fin_Sing
isso isso_PRON_Masc_Sing
! !
Pau pau_NOUN_Masc_Sing
nele em_ele_ADP_PRON_Masc_Sing
não não_ADV
deixa deixar_AUX_Fin_Sing
passar passar_VERB_Inf
de de_ADP
graça graça_NOUN
! !
O o_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
não não_ADV
roubo roubo_NOUN_Masc_Sing
, ,
e e_CCONJ
a o_DET_Fem_Sing
justiça justiça_NOUN_Fem_Sing
deixou deixar_AUX_Fin_Sing
prender prender_VERB_Inf
ele ele_PRON_Masc_Sing
, ,
sem sem_ADP
provas prova_NOUN_Fem_Plur
, ,
por por_ADP
dois dois_NUM
bandidos bandido_NOUN_Masc_Plur
, ,
Marreco marreco_PROPN_Masc_Sing
Satanás satanás_PROPN_Sing
e e_CCONJ
bolsonaro bolsonaro_NOUN_Masc_Sing
Satanás satanás_PROPN_Masc_Sing
, ,
a o_DET_Fem_Sing
quadrilha quadrilha_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
Satanás satanás_PROPN_Masc_Plur
, ,
