df_index	text
019850	 #BOLSONARO O MELHOR PRESIDENTE QUE O BRASIL TEVE ATÉ HOJE DESDE DA PROCLAMAÇÃO DA REPÚBLICA E HONESTÍSSIMO PATRIOTA DE VERDADE. DEUS,PÁTRIA,FAMÍLIA, LIBERDADE, ETC
013980	 ---O DESGRAÇADO BANDIDO DO PLANALTO NADA FAZ ALÉM DE TURISMO COM DINHEIRO DO POVO,E AINDA IMPEDE QUE ALMAS BOAS AJUDEM.#BOLSOCANALHA--#BOLSOLADRÃO--#BOLSOIDIOTA---#BOLSOBURRO.
001399	 -REVOGAR o desarmamento . 3 frases de Jair Bolsonaro em 9 segundos TV e radio -Fortalecer a Lava Jato -REVOGAR o desarmamento -Defender a família .
016158	" ... ""esse pt só tem ladrão"", hein?!"
002007	 2019/28 Anos de Jejum de 40 dias por Avivamento Nacional e clamor também pedindo ao Senhor pela sabedoria do rei Salomão sobre nosso Presidente Jair Messias Bolsonaro. EitaglóriasdeDeus Ap. Ari C Nascimento. 
017943	 @EstadaoPolitica Plano de Lula para Defesa prevê Guarda Nacional e despolitização das Forças Armadas após Bolsonaro 
009494	 @EstadaoSaude Com alta de casos de covid, famílias cancelam planos de Natal e ano-novo 
014180	 @jairbolsonaro, adeus Centrão. #BolsonaroNaCadeia #LulaPresidente13
002818	 Aposto uma caixa de cerveja que se procurar, se escarafunchar, acha relação desse cara com a milícia comandada pela família Bolsonaro. Ele pode ir a velórios. Com tratamento especial ainda. Ah... aposto duas caixas de cerveja que ninguém vai procurar.
003253	 Aí @jairbolsonaro vc irá fazer o que AGORA. Por isso falando com meus amigos antes de vc escolhe o Sérgio DESARMAMENTISTA Moro para Ministro, meus amigos e eu estava pensando em um Ministro 100% para calar o @STF_oficial CORRUPTO e NÃO, um ATIVISTA 50%.
011365	 BOLSONARO LIBERTANDO O POVO DO NORDESTE E O CORONE DO SETAO APAVORADO. ESQUERDA COMUNISTA CORRUPTA NUNCA MAIS. BRASIL COM DEMOCRACIA ACIMA DE TUDO. .
004083	 Bolsonaro caiu nas graças do homem mais poderoso do mundo. Essa história de ficar de mal dos EUA é papinho de adolescente comunista revoltado. Brasil e EUA devem se alinhar e se unir. Nós só temos a ganhar tendo a maior economia do mundo ao nosso lado.
016802	 Bolsonaro diz que Forças Armadas participarão de ato pró-governo de 7 de setembro Durante discurso em convenção de Tarcísio de Freitas, o chefe do Executivo ainda defendeu que o seu governo não teve casos de corrupção orgânica 30.07.2022 14H30
013645	 Bolsonaro encerrou ontem um discurso na Academia Militar das Agulhas Negras, em Volta Redonda, com o slogan Integralistas (movimento nazi / fascista brasileiro dos anos 1930): Deus, Pátria e Família. Quando ele saiu da cidade, uma mulher foi presa por importuná-lo  🇧🇷 
010713	 Bolsonaro está em uma sinuca de bico. Após ter interferido politicamente nas Forças Armadas, ele tem a difícil missão de definir os comandantes sem ampliar o constrangimento interno no Exército, na Marinha e na Aeronáutica. (+)
001942	 Bolsonaro quer esterilização das mulheres. O bolsa família é entregue às mulheres, pelos filhos nas escolas, não em educação à distância #MulherVotaHaddad #HoraDaVirada se neguinho não quiser ser morto #HaddadSim, não é só o caso da Rocinha o ódio
015171	 CABEÇA DE BAGRE SÓ PENSA EM ARMAS E COMO ATRAPALHAR VIDA DO POVO COM MISÉRIA,FOME,DESEMPREGO,SALÁRIO MÍNIMO INDIGNO ETC.
015740	 COM BOLSONARO? NINGUÉM VAI FICAR P/TRÁS. DIFERENTE DOS ANTERIORES.➡️QUEM AI SE RECORDA DA FRASE. AINDA BEM Q DEUS CRIOU O CORONA?
003511	 COM CERTEZA E QUE DEUS CONTINUE ABENÇOANDO MUITO TODOS VCS DESSA FAMÍLIA LINDA DE JESUS CRISTO AMÉM.
020602	 CONCORDO COM VC LULADRÃO, BOLSONARO ABRIU NOSSOS OLHOS E MOSTROU TODOS OS CORRPTOS DO BRASIL, DE VEREADOR A TOGADO
010345	 Ciro esse merda do Bolsonaro não vai nem pro 2° turno Deus é pai!!🙏🙏
016298	 Defesa da vida e da liberdade dos trabalhadores; AÇÕES: -Criação do BEM, PRONAMPE e PEAC: . BEM: manutenção de quase 10 milhões de empregos, com 23 milhões de acordos de trabalho; . PRONAMPE:+de R$ 62 bilhões em créditos, beneficiando quase 700 mil empresas de pequeno porte;
017076	 EU NÃO APÓIO P. E N. P. POVO 🇧🇷, A VERDADE S. DITA P. PR BOLSONARO. SAIA AS RUAS DE T. 🇧🇷, DE F. ORDEIRA E COESA, RESPALDADO P. ART. 1º E Ú. DA CONST. FEDERAL, INV. AS FORÇAS ARMADAS P. PRENDER T. Q. ESTÃO COMETENDO CRIMES E P. CORRIGIR T. Q. ESTA ERRADO.
011152	 Estados utilizam recursos da covid para pagar salários; . Indígenas sobre a vida em suas terras; . Biocombustível; . Brasil possui uma das matrizes de energia mais limpas do mundo; . Programas de auxílio à manutenção de empregos, auxílio emergencial e bolsa-família;
011670	 Flávio Bolsonaro faz gestos de arma para carreata contra o governo federal Riu e acenou para os manifestantes Esquerda fez protestos pelo país
016248	 Governo Federal entrega 500 moradias a famílias de baixa renda de MG: O Presidente da República, Jair Bolsonaro, participou, na tarde desta quinta-feira (26/05), da cerimônia de inauguração do Residencial…   
008803	 Graças à Deus!
002712	 Grupo de apoio ao nosso presidente Jair Messias Bolsonaro !! Brasil acima de tudo, Deus acima de todos ! 
001939	 Mais armas? Bolsonaro diz que vai acabar com esse coitadismo de mulher, gay e nordestino. #BalasPerdidas não ! #HaddadSim #ViraVoto Arcos da Lapa
003986	 Miliciano preso por grilagem de terras no DF é tio de Michelle Bolsonaro Eita família hein!
000400	 No @JornalNacional #JN de hoje Eleitor de Bolsonaro @jairbolsonaro tenta assassinar dois petistas - Fakenews Petista gritou PEGA ELE / DERRUBEI NOSSA ARMA NO CHAO / ACERTOU O PESCOCO DELE - Realidade
